서비스_업종_코드_명,19년,20년
PC방,76869835,92592279
가구,242717233,267996337
가방,289466586,270496720
가전제품수리,1377879,36042597
고시원,31819187,3267070
골프연습장,40613273,46270301
네일숍,13887438,10113227
노래방,24295705,15569567
당구장,10739835,8802532
문구,211591664,195181402
미곡판매,179045533,307776568
미용실,19768624,18273774
반찬가게,154348902,141096327
부동산중개업,13928571,14444444
분식전문점,37625700,33050701
서적,81974394,54580638
섬유제품,127658419,112198127
세탁소,15062679,14354233
수산물판매,103377855,144399112
슈퍼마켓,87884700,109596145
스포츠 강습,78336897,58164987
스포츠클럽,40713458,34940991
시계및귀금속,243633944,296077958
신발,62732629,75519950
안경,72325532,105274013
애완동물,17160670,22072302
양식음식점,44296647,47527009
여관,87171564,49562387
예술학원,39925462,30009886
완구,81474453,82819947
외국어학원,39316537,37410728
운동/경기용품,426180135,208084708
육류판매,167237878,194179559
의료기기,459874876,290496353
의약품,170531940,229018045
인테리어,29123647,44972648
일반교습학원,99651712,78130361
일반의류,83901879,69216167
일반의원,157864482,157313514
일식음식점,54728204,44212703
자동차미용,38888799,61878128
자동차수리,70184655,72227503
자전거 및 기타운송장비,12026785,114464775
전자상거래업,60091726,30029661
제과점,68242432,75536447
조명용품,38252534,44407698
중식음식점,113579402,107065209
철물점,39746294,44826889
청과상,136669145,184555699
치과의원,119820136,141148583
치킨전문점,51674097,45153309
커피-음료,30739374,29976343
컴퓨터및주변장치판매,33606633,56354830
패스트푸드점,42525827,40149953
편의점,170957289,203419995
피부관리실,18217768,25003584
한식음식점,81479382,73752933
한의원,68604048,64806662
핸드폰,130558762,154250840
호프-간이주점,71469499,59731108
화장품,41875205,40984057
화초,9556572,9418531
