서비스_업종_코드_명,19년,20년
가구,1807078159,1632668755
가방,283867747,235217701
가전제품,302280213,223666925
네일숍,28434870,20142900
문구,822181562,265522457
미용실,143827363,118926265
반찬가게,885923076,762552024
분식전문점,230248859,135543459
섬유제품,342144528,220120009
슈퍼마켓,63971899,9595631
스포츠클럽,943816721,673277070
시계및귀금속,61107721,49849231
신발,19187255,10132316
안경,114842672,105289907
양식음식점,112376250,54120945
완구,91295316,54491157
운동/경기용품,728565271,627986955
의약품,388003688,387060489
인테리어,14322591,
일반의류,341054020,212427745
일반의원,232475680,282753513
일식음식점,261066089,144067844
전자상거래업,2320441,978723
제과점,183790769,112366671
중식음식점,337452837,385430306
치과의원,224399123,215642166
커피-음료,101831994,41148547
컴퓨터및주변장치판매,40822781,18052458
패스트푸드점,247146007,98008627
편의점,227625988,154325692
피부관리실,62575599,18223417
한식음식점,112845067,67648301
핸드폰,124721836,128599732
화장품,585919363,453087169
화초,117129226,79529208
