서비스_업종_코드_명,19년,20년
PC방,101876783,87382976
가구,243308693,247090806
가방,171483719,157652180
가전제품,220482888,270214052
가전제품수리,66637297,41437305
고시원,22487660,31350393
골프연습장,56177060,77577918
네일숍,23389309,15756618
노래방,30143733,16399332
당구장,11741198,10501197
문구,173809774,118940858
미곡판매,34594418,51804664
미용실,54900468,49377112
반찬가게,88941404,149595448
부동산중개업,4779699,1531707
분식전문점,62551033,50789430
서적,239432713,155892563
섬유제품,78913098,86915235
세탁소,18727523,18113842
수산물판매,116099014,36635111
슈퍼마켓,67139919,73690438
스포츠 강습,28578576,24000710
스포츠클럽,117816514,82308696
시계및귀금속,78293933,81172652
신발,85128628,62575815
안경,93965287,89881446
애완동물,24384584,24360806
양식음식점,72676768,61440048
여관,55495858,42345423
예술학원,53453372,49022447
완구,64123332,74853100
외국어학원,60763896,62630099
운동/경기용품,238602336,145230844
육류판매,160328531,154178125
의료기기,350211050,344319025
의약품,179788135,220031532
인테리어,14662782,16225792
일반교습학원,151320771,114969920
일반의류,159328821,118748040
일반의원,240657620,240050667
일식음식점,96225138,86015276
자동차미용,65389556,75186370
자동차수리,66100577,65454349
자전거 및 기타운송장비,171310471,50207795
전자상거래업,26172251,41098312
제과점,84677293,70069388
조명용품,93294223,65673298
중식음식점,104277132,89383797
철물점,43871237,28279390
청과상,32120887,51750931
치과의원,144370102,140737942
치킨전문점,66611219,54344262
커피-음료,69509366,54210772
컴퓨터및주변장치판매,92167085,63251863
패스트푸드점,66171614,51939009
편의점,213125502,214468149
피부관리실,18654788,18872671
한식음식점,93512971,82473619
한의원,107590871,100071563
핸드폰,48276740,35733297
호프-간이주점,91130550,70394133
화장품,87417206,80013842
화초,21657924,18347121
