서비스_업종_코드_명,19년,20년
PC방,103136243,120039316
가구,34506314,45468434
가방,2406938,2843369
가전제품,544752810,993562211
가전제품수리,149884269,132282174
골프연습장,75321728,107020514
네일숍,5606562,5301416
노래방,30429132,16501329
당구장,13181420,10251262
문구,24109458,23821742
미곡판매,9008900,13818752
미용실,15180943,13493237
반찬가게,128855993,102919943
분식전문점,24665337,970588
서적,76039923,21786597
섬유제품,54409626,36506149
세탁소,12555471,68530953
수산물판매,93074154,10667181
슈퍼마켓,83563919,102632758
스포츠 강습,29551004,19517977
스포츠클럽,70701514,62565069
시계및귀금속,36928215,31046038
신발,13422206,5193850
안경,70534716,59217741
애완동물,26202611,22066387
양식음식점,44686644,37763015
여관,16976403,5432013
예술학원,42150336,37077468
완구,11373095,15617342
외국어학원,23889497,19462301
운동/경기용품,383983318,370980361
육류판매,92691305,123262055
의료기기,2020899968,2067087894
의약품,146826316,162252779
인테리어,17492333,60616299
일반교습학원,51514180,40910211
일반의류,27320129,18553986
일반의원,185694202,161704651
일식음식점,51600542,45279044
자동차미용,26609459,21655687
자동차수리,48061792,43867710
자전거 및 기타운송장비,5570731,5059733
전자상거래업,25563023,26730906
제과점,39330027,35034092
조명용품,160867771,135168643
중식음식점,66495782,52415277
철물점,48333552,54552670
청과상,45512650,38543894
치과의원,142347611,160663642
치킨전문점,40687390,33366496
커피-음료,37357042,35108338
컴퓨터및주변장치판매,101566587,44693960
패스트푸드점,42443033,30678642
편의점,171079278,166637558
피부관리실,11788588,9945625
한식음식점,76423585,58464071
한의원,82516315,77512788
핸드폰,9357601,4328943
호프-간이주점,51160527,35431749
화장품,19809695,16904856
화초,6874444,5867333
