서비스_업종_코드_명,19년,20년
PC방,46244049,31097571
가구,142677728,143353795
가방,26081193,11188963
가전제품,3984600,1232378
가전제품수리,,3000000
고시원,,2315520
골프연습장,37024009,25554371
네일숍,52226360,28779162
노래방,33880635,16944823
당구장,8602760,8307235
문구,77620994,62508217
미곡판매,169974487,70624360
미용실,44003935,43174242
반찬가게,11624517,23667928
부동산중개업,25210836,17811668
분식전문점,40902701,31635887
서적,122447072,96107351
섬유제품,1219029,1567898
세탁소,5869556,7026983
수산물판매,45000000,44817697
슈퍼마켓,71688383,74799939
스포츠 강습,26650881,24635573
스포츠클럽,58307911,41716287
시계및귀금속,32923020,24159899
신발,223927586,104791335
안경,61528119,52457691
애완동물,16571061,11979695
양식음식점,75047673,44827100
여관,24416615,24420581
예술학원,86598665,82014021
완구,7125972,6612935
외국어학원,72278787,44632428
운동/경기용품,230932022,219086378
육류판매,115258729,75717493
의료기기,656431097,752274139
의약품,181619455,178842855
인테리어,5308244,3263411
일반교습학원,8576445,4107335
일반의류,137939024,91566389
일반의원,191954832,219547918
일식음식점,81037769,58593729
자동차미용,67420967,58170836
전자상거래업,51289253,33669449
제과점,79469471,48186933
조명용품,44375718,13260577
중식음식점,68790499,51568687
철물점,3534951,6083864
치과의원,107073384,103531039
치킨전문점,50851521,40435455
커피-음료,69739431,47173201
컴퓨터및주변장치판매,6419919,5352397
패스트푸드점,60143993,37039643
편의점,208369434,165701683
피부관리실,14479501,12057283
한식음식점,86874707,57353773
한의원,115684319,123464898
핸드폰,13724791,8402984
호프-간이주점,78925293,49806623
화장품,61836287,48020012
화초,25237735,22720628
