기준_년_코드,기준_분기_코드,상권_구분_코드_명,서비스_업종_코드_명,분기당_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,점포수,점포당매출
2015,15년1분기,골목상권,외국어학원,198777288,63568676,131287503,0,2316552,38531051,149076871,4931706,0,5,39755457
2015,15년1분기,골목상권,반찬가게,2952061,0,2952061,0,0,0,0,0,2952061,1,2952061
2015,15년1분기,발달상권,한식음식점,15779171548,6045438351,2959502074,29940281,1986961817,3628160706,2113545657,911057056,335274909,175,90166694
2015,15년1분기,골목상권,핸드폰,74272450,29837980,44434470,0,8913774,0,28588992,36769684,0,1,74272450
2015,15년1분기,발달상권,서적,763592209,116602928,441240757,300128,12015228,146810300,361510723,34427029,2780281,12,63632684
2015,15년1분기,골목상권,당구장,3556924,3119679,249408,29152,774649,929597,1056831,532430,46428,1,3556924
2015,15년1분기,골목상권,시계및귀금속,4315609,1256596,3007238,562634,197117,62676,3061131,348452,31825,1,4315609
2015,15년1분기,발달상권,커피-음료,2009069302,708214973,879234148,13184603,441326834,637958751,304862127,141049404,49067410,22,91321331
2015,15년1분기,골목상권,분식전문점,127125053,39250938,77223583,4092546,35746619,27218542,36841486,10057350,2517980,13,9778850
2015,15년1분기,골목상권,문구,5473520,2257337,2322810,158281,149174,1656516,1992601,371535,252041,3,1824506
2015,15년1분기,골목상권,제과점,45342151,17448240,24140140,83469,1834063,17379523,16506120,4092483,1692722,1,45342151
2015,15년1분기,골목상권,일반교습학원,379056987,172878862,145023668,0,0,24652907,248991690,36899203,7358730,7,54150998
2015,15년1분기,관광특구,자전거 및 기타운송장비,689057816,462672282,125164580,1625134,102481312,198948190,200671089,59579414,24531723,4,172264454
2015,15년1분기,골목상권,치킨전문점,217250790,114181035,93034218,4437832,33088135,63978749,66510665,30124602,9075273,3,72416930
2015,15년1분기,골목상권,유아의류,127654230,44996668,64005859,0,5503761,52414802,28198369,17449575,5436019,1,127654230
2015,15년1분기,골목상권,스포츠 강습,62877408,27367164,35510244,1985392,16490324,16686766,20262752,7452174,0,3,20959136
2015,15년1분기,골목상권,가구,718999146,341096555,314667745,0,17923340,366757559,164424856,77171844,29486701,2,359499573
2015,15년1분기,골목상권,분식전문점,167079127,67612265,70834204,1862184,31836116,45036169,36705068,16836301,6170627,6,27846521
2015,15년1분기,골목상권,일반의류,36945658,19797921,15873839,70154,767795,2628838,9919797,12760966,9524209,7,5277951
2015,15년1분기,골목상권,화장품,20399413,3881603,16287964,16286,3197408,13070671,1380096,1992761,512345,13,1569185
2015,15년1분기,골목상권,세탁소,31608573,15152936,14665193,129091,4835079,13632309,5881329,4206520,1133804,5,6321714
2015,15년1분기,골목상권,커피-음료,198374569,84670522,104588730,3708552,74686920,58780751,32121927,16652087,3309016,4,49593642
2015,15년1분기,발달상권,커피-음료,171723365,65021842,65461301,1151972,41006979,50695739,23942054,9580039,4106365,6,28620560
2015,15년1분기,골목상권,자전거 및 기타운송장비,218058948,188086651,28677686,87917,2895583,176065517,27649485,7384632,2681204,1,218058948
2015,15년1분기,골목상권,화장품,372508395,83480494,284351084,8827737,78196515,71460449,115088793,68833765,25424320,10,37250839
2015,15년1분기,골목상권,치킨전문점,6780668,4908780,1290727,116820,1143705,1287319,1488754,1464576,698335,3,2260222
2015,15년1분기,골목상권,청과상,37991363,2053680,5116223,0,654415,1090902,1401637,2613416,1409531,2,18995681
2015,15년1분기,골목상권,외국어학원,840065958,375795000,447611443,0,6449625,6049122,640356694,156075404,14475600,6,140010993
2015,15년1분기,골목상권,예술학원,251450826,80809303,138434780,0,0,119288707,91315891,3714638,4924848,10,25145082
2015,15년1분기,관광특구,가구,1682238983,1030049056,567248635,0,56987054,384951053,292552941,222343001,640463643,21,80106618
2015,15년1분기,발달상권,독서실,4789978,2873987,1915991,0,239499,957996,957995,2634488,0,2,2394989
2015,15년1분기,골목상권,철물점,84441107,34629397,30103301,0,10338410,22463098,768614,20280589,10881987,1,84441107
2015,15년1분기,발달상권,일식음식점,40934745,23835361,9698189,13131,6637864,12546621,8108776,4846732,1380423,2,20467372
2015,15년1분기,골목상권,반찬가게,21260031,7596571,13350967,91987,1755520,12036877,5564317,982492,516346,5,4252006
2015,15년1분기,골목상권,골프연습장,11491501,6726499,4505998,0,0,257521,2746544,8228431,0,1,11491501
2015,15년1분기,골목상권,미용실,312221553,130457548,177026660,4577278,61240463,42217220,75448601,86694050,37306597,15,20814770
2015,15년1분기,골목상권,문구,86531956,9345596,15459031,27321,1853078,8263281,9132777,3723258,1804918,6,14421992
2015,15년1분기,골목상권,중식음식점,49820338,22344200,13527985,381446,4268598,8611211,11015020,6801974,4793936,3,16606779
2015,15년1분기,골목상권,치킨전문점,43264479,22598966,18107663,1508407,12469353,10721190,8666412,5598358,1742910,2,21632239
2015,15년1분기,골목상권,육류판매,288125553,84976189,110477647,232022,8555313,28156671,52395869,72413695,33700264,4,72031388
2015,15년1분기,골목상권,커피-음료,12338496,5063224,7009625,32847,3264837,3598369,4274840,648571,253386,6,2056416
2015,15년1분기,발달상권,한의원,100386501,39962497,56046043,0,6699835,11717961,28043152,19592702,29954889,3,33462167
2015,15년1분기,골목상권,서적,27421040,0,27421040,0,0,7194844,20226196,0,0,2,13710520
2015,15년1분기,발달상권,문구,343833675,77149179,67176759,718420,19212969,31458597,43321733,41088238,8525981,2,171916837
2015,15년1분기,골목상권,패스트푸드점,4420734,2528591,1777468,0,240818,567643,2471253,928870,97474,2,2210367
2015,15년1분기,발달상권,법무사사무소,454229024,153223977,55488639,0,1276592,46253640,120107616,30554769,10520000,17,26719354
2015,15년1분기,골목상권,의약품,360175877,186232896,140471852,438038,26445991,50145517,86061214,101948459,61665532,5,72035175
2015,15년1분기,골목상권,노래방,125751368,95378718,14008009,347814,15046051,26657096,32475881,28542383,6317500,7,17964481
2015,15년1분기,발달상권,치과의원,1555391665,753818791,718880821,656709,122833667,333810013,421750460,388901309,204747451,10,155539166
