기준_년_코드,기준_분기_코드,상권_구분_코드_명,서비스_업종_코드_명,분기당_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,점포수,점포당매출
2015,15년1분기,골목상권,제과점,144580835,51561503,64441645,1362696,21098574,36270376,34918075,16489767,5863660,1,144580835
2015,15년1분기,골목상권,슈퍼마켓,98782590,52146291,46577101,848572,9203919,34336530,23517968,22798431,8017972,4,24695647
2015,15년1분기,골목상권,네일숍,9495130,3183281,5741723,0,470332,3405019,2780061,2204680,64913,1,9495130
2015,15년1분기,골목상권,사진관,10910678,3242400,6355105,0,1994076,2318316,1475292,2156196,1653624,1,10910678
2015,15년1분기,골목상권,피부관리실,24384202,7232676,17151526,0,574713,3328982,3328981,7830377,9321149,2,12192101
2015,15년1분기,골목상권,인테리어,58000000,31000000,0,0,0,0,0,12300000,18700000,1,58000000
2015,15년1분기,발달상권,분식전문점,869577864,385815939,425193040,41208125,293277271,222797538,157204625,72639032,23882389,25,34783114
2015,15년1분기,발달상권,중식음식점,361944103,185046009,174251324,20403947,157619851,84823500,57881531,32213512,6354992,5,72388820
2015,15년1분기,발달상권,일반의원,121013415,49110017,71903398,0,13162966,28359343,51669425,14227383,13594298,1,121013415
2015,15년1분기,관광특구,화초,372327676,69948007,92374863,60799,34619719,44943403,29853109,31837882,21007961,18,20684870
2015,15년1분기,골목상권,편의점,209146906,138772288,70374618,7338510,76806273,64908403,34946009,19552980,5594731,1,209146906
2015,15년1분기,골목상권,피부관리실,14226057,3370167,8568180,800688,1184198,2206829,5340222,1203205,1203205,1,14226057
2015,15년1분기,골목상권,핸드폰,90941543,6183680,84757863,0,4672965,7132699,73262699,3858106,2015074,10,9094154
2015,15년1분기,골목상권,여관,586667,586667,0,88889,497778,0,0,0,0,1,586667
2015,15년1분기,골목상권,일반의원,199063326,65475268,128423812,2022829,15402231,19167972,49731935,48817920,58756192,2,99531663
2015,15년1분기,골목상권,한식음식점,566977647,289368894,167815325,4021238,92972825,126784087,114952962,93870378,24582728,13,43613665
2015,15년1분기,골목상권,한식음식점,167181270,88911507,32533285,254624,13991289,30291354,36638810,25812016,14456700,6,27863545
2015,15년1분기,골목상권,중식음식점,6703024,3670024,2201430,148187,1058261,1737726,1379530,1078698,469052,2,3351512
