기준_년_코드,기준_분기_코드,상권_구분_코드_명,서비스_업종_코드_명,분기당_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,점포수,점포당매출
2015,15년1분기,골목상권,전자상거래업,81115137,45035262,36079875,0,11366452,37242354,2368011,30138320,0,2,40557568
2015,15년1분기,골목상권,신발,22741028,1686022,20607194,0,294547,5078874,7455859,7200939,2262997,3,7580342
2015,15년1분기,골목상권,한의원,236138332,94481144,126862004,0,3364603,41238225,68138534,69078444,39523342,3,78712777
2015,15년1분기,발달상권,스포츠 강습,238110231,79447210,151582016,5896410,31126113,45193830,115162730,33650144,0,4,59527557
2015,15년1분기,골목상권,PC방,54727776,46788199,7939577,6204138,36315424,6078453,2255512,3874249,0,2,27363888
2015,15년1분기,골목상권,네일숍,2624104,0,2378189,0,859083,883713,546478,88915,0,2,1312052
2015,15년1분기,골목상권,자전거 및 기타운송장비,4000000,4000000,0,0,0,0,0,4000000,0,1,4000000
2015,15년1분기,골목상권,네일숍,21638158,4223235,16712696,0,4192010,9602970,4417136,2399113,324702,3,7212719
2015,15년1분기,골목상권,의약품,245383182,109968346,120129633,752034,16648183,47828456,50308551,49890962,64669792,4,61345795
2015,15년1분기,골목상권,일반의원,719179053,288885925,387339914,3617768,44796456,89178841,168624645,190827314,179180814,5,143835810
2015,15년1분기,골목상권,컴퓨터및주변장치판매,13807004,6157207,2236582,0,689823,4651935,1888996,989243,173793,3,4602334
2015,15년1분기,골목상권,자동차수리,291505736,161302837,54861490,0,4539063,28271935,52987708,86408568,43957052,7,41643676
2015,15년1분기,골목상권,한식음식점,3160463347,1490950072,774476591,7593181,247626585,560034445,581702886,498125551,370344026,36,87790648
2015,15년1분기,골목상권,인테리어,610542187,374920585,105504608,0,12774811,20293936,182080832,137313222,127962393,5,122108437
2015,15년1분기,골목상권,컴퓨터및주변장치판매,6396691,5475032,0,0,0,0,1282429,230415,3962188,1,6396691
2015,15년1분기,골목상권,분식전문점,71854721,29437196,27493283,408754,7275143,14613163,14005015,11256423,9371981,4,17963680
2015,15년1분기,골목상권,호프-간이주점,166309634,104560698,58877111,2649887,24972945,53581092,50398383,24727468,7108033,12,13859136
2015,15년1분기,골목상권,주유소,780000000,366736161,137532854,288705,32711473,119619690,134344417,121162875,96141855,2,390000000
2015,15년1분기,발달상권,일반교습학원,391379052,122708234,241645820,6055458,6022796,26311871,239344743,53646005,32973184,5,78275810
2015,15년1분기,골목상권,세탁소,17868130,8873097,8545003,72071,2477307,8479394,4517603,1440009,431718,4,4467032
2015,15년1분기,골목상권,육류판매,83975249,28157370,49539657,24709,5223936,11378180,21250366,22768428,17051410,4,20993812
2015,15년1분기,골목상권,문구,214484959,39681588,28771256,836843,8456803,16853736,22661436,17603097,2040932,6,35747493
2015,15년1분기,골목상권,한의원,332160702,131961442,200199260,238013,6142414,53413659,106853799,112264846,53247971,3,110720234
2015,15년1분기,골목상권,의약품,1238009198,551459113,686550085,6237002,146817493,338692471,275170899,253260629,217830704,3,412669732
2015,15년1분기,발달상권,패스트푸드점,427831641,206831384,183872466,11561336,128290844,113072388,82339535,46148321,9291425,4,106957910
2015,15년1분기,골목상권,육류판매,237444298,79073000,111275138,68038,7657544,25508751,51521014,51852160,53740628,6,39574049
