서비스_업종_코드_명,19년,20년
PC방,212339513,123984096
가구,6983727,9527921
가방,13584596,5808770
가전제품,56740046,29237063
가전제품수리,10105075,7154156
골프연습장,106966268,100847345
네일숍,24864543,13271475
노래방,28711007,13306204
당구장,7433931,7569161
문구,213947041,122053301
미곡판매,58170519,69710016
미용실,22499660,19823158
반찬가게,87724385,66003976
분식전문점,29142558,20819573
서적,156798827,94496247
섬유제품,28799815,25860024
세탁소,9604593,8472878
수산물판매,1054242449,93167613
슈퍼마켓,59989931,69795125
스포츠 강습,5164507,5910997
스포츠클럽,5244350,11352252
시계및귀금속,9913751,28736750
신발,190163642,175701319
안경,72952990,52933369
애완동물,15246263,11573265
양식음식점,95956498,58298628
여관,15738289,12326358
예술학원,9089626,8795162
외국어학원,41676582,33575967
운동/경기용품,149713901,170003537
육류판매,153124771,155701807
의료기기,3824998843,3581702723
의약품,80592874,113769065
인테리어,20058712,28603648
일반교습학원,14511202,13765107
일반의류,46251023,31246799
일반의원,142747245,101827766
일식음식점,38243872,26654296
자동차미용,119157779,103361959
자동차수리,74373983,74575941
자전거 및 기타운송장비,9740661,51732263
전자상거래업,49423213,20967852
제과점,90481415,81940584
조명용품,33365930,2488898
중식음식점,58373426,46257931
철물점,16409937,11353914
청과상,22187853,29667280
치과의원,124303548,112641148
치킨전문점,58206729,41526754
커피-음료,33450573,24164812
컴퓨터및주변장치판매,262728714,161569095
패스트푸드점,92624360,56056600
편의점,176841536,154794075
피부관리실,32550748,25856667
한식음식점,80788661,57564226
한의원,56995973,46360929
핸드폰,5023026,6133759
호프-간이주점,66346843,37828059
화장품,45648440,32756301
화초,16999253,15377470
