서비스_업종_코드_명,19년,20년
가구,695413,2424013
가방,19393118,9608144
가전제품수리,15157612,9863179
골프연습장,51038556,35977101
네일숍,3085016,1194919
노래방,60338211,14218646
당구장,3180997,2346852
문구,9358818,4825578
미용실,22608783,19868614
반찬가게,36284822,39084438
분식전문점,19398311,11757735
서적,170293560,177699900
섬유제품,7051981,6825366
세탁소,30431709,29602668
슈퍼마켓,101376573,72326689
스포츠클럽,122220199,136587898
시계및귀금속,22680338,19839598
신발,174104048,135942979
안경,15451477,14456129
애완동물,9816200,6146301
양식음식점,117139178,65030986
여관,42200079,21210992
예술학원,197607363,141938633
운동/경기용품,87867379,96563609
육류판매,433254533,731951979
의료기기,1274999614,1790851361
의약품,60998936,66171016
일반의류,48380216,26336617
일반의원,121825887,83762542
일식음식점,51662749,27197402
자동차미용,22152813,27302557
전자상거래업,26306453,18981085
제과점,64751091,31950582
조명용품,16682965,15779555
중식음식점,76724141,51356014
치과의원,56789047,66670053
치킨전문점,19912600,7401202
커피-음료,77884011,52707929
패스트푸드점,85080659,38178934
편의점,327834002,214441076
피부관리실,2430856,1707616
한식음식점,113262823,58930383
한의원,25798462,18231195
핸드폰,376300,
호프-간이주점,94526666,33980449
화장품,96821381,72131525
화초,9147562,6489925
