서비스_업종_코드_명,19년,20년
PC방,155159815,124147019
가구,506923435,507417096
가방,34957835,10050656
가전제품,128745352,651234111
가전제품수리,28823601,25410183
골프연습장,77833319,83026929
네일숍,6953633,4432057
노래방,33216007,17090397
당구장,15949289,15237062
문구,344742104,260792318
미용실,12812555,8738037
반찬가게,52632016,58340439
분식전문점,35426543,27673272
서적,495578247,989183520
수산물판매,75000000,75000000
슈퍼마켓,182734144,152164423
스포츠 강습,74966682,75260716
스포츠클럽,36594096,51561885
시계및귀금속,36472526,21559932
신발,39726508,17201004
안경,54520145,41343180
애완동물,8494414,8282939
양식음식점,121163734,58976439
여관,62948489,28503042
예술학원,83748019,76213336
완구,25595025,27066322
운동/경기용품,15745082,8737048
의료기기,112901494,263022767
의약품,173652540,199449882
인테리어,71092099,45138894
일반교습학원,1550205,
일반의류,30397386,12250935
일반의원,162956932,139094845
일식음식점,84689516,51784512
자동차미용,31260970,23591223
자동차수리,65724349,65956293
전자상거래업,14916374,13699599
제과점,165936751,50339138
조명용품,25914137,26286984
중식음식점,64680216,42617489
철물점,36733123,24171927
치과의원,107067562,100049446
치킨전문점,37261794,33127290
커피-음료,77129994,43027671
컴퓨터및주변장치판매,506242037,459655037
패스트푸드점,46494970,34161925
편의점,266573148,192666781
피부관리실,12076779,6078580
한식음식점,91682760,64366573
한의원,83140856,80498613
핸드폰,24835156,21584386
호프-간이주점,98871553,53094396
화장품,30517688,17374641
화초,13860112,10904404
